 "value" , "label" , "location" , "region" , "occorrenze" ,
 "http://iconclass.org/41B31" , "candela" , "http://www.researchspace.org/resource/man-made_object/CAM_NA_Napoli_SGiovanniMaggiore" ,  , "1" ,
 "http://iconclass.org/44B1524" , "giullare, buffone di corte" , "http://www.researchspace.org/resource/man-made_object/CAM_BN_SantAgatadeGoti_ComplessodellaConcattedralediSantAgatadeGoti" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/46A122" , "stemma, araldica" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/46C1316141" , "palanchino (sul dorso di un elefante)" , "http://www.researchspace.org/resource/man-made_object/CAM_BN_SantAgatadeGoti_ComplessodellaConcattedralediSantAgatadeGoti" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/47I214" , "capra" , "https://sacred_space.com/resource/hertziana/man-made_object/CAL_CS_SanDemetrioCorone_SAdriano" ,  , "1" ,
 "http://iconclass.org/47I214" , "capra" ,  ,  , "1" ,
 "http://iconclass.org/48A981" , "motivi geometrici ~ decorazioni" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "2" ,
 "http://iconclass.org/48A981%28%2B2%29" , "motivi geometrici ~ decorazioni (+ decorazioni a cornice)" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/48A9811%28%2B2%29" , "linee rette (solo con angoli retti) ~ decorazioni (+ decorazioni a cornice)" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/48A9812" , "linee rette (angoli alterni e complementari) ~ decorazioni" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/48A9813%28%2B4%29" , "forme circolari e curve ~ decorazioni (+ ornamento tridimensionale e apparentemente tridimensionale)" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/48A9814" , "combinazione di linee rette e curve ~ decorazioni" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/48A9816" , "forme raggiate, forme a ruota ~ decorazioni" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/48A98211" , "maschera, mascherone ~ elementi decorativi" ,  ,  , "1" ,
 "http://iconclass.org/48A9831" , "fogliame, viticci, rami ~ elementi decorativi" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "7" ,
 "http://iconclass.org/48A9831" , "fogliame, viticci, rami ~ elementi decorativi" ,  ,  , "1" ,
 "http://iconclass.org/48A98311" , "fogliame ~ elementi decorativi" ,  ,  , "1" ,
 "http://iconclass.org/48A9832" , "frutti e vegetali ~ elementi decorativi" , "http://www.researchspace.org/resource/man-made_object/CAM_NA_Napoli_SGiovanniMaggiore" ,  , "1" ,
 "http://iconclass.org/48A9878" , "intreccio ~ composizioni decorative" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/48A9878" , "intreccio ~ composizioni decorative" ,  ,  , "2" ,
 "http://iconclass.org/48A98781" , "intreccio astratto, intreccio a nodo ~ composizioni decorative" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "4" ,
